"ID";"P3";"P4";"P5";"P7";"P8";"P9";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P19";"P20";"P21";"P22";"P6";"P16";"P17";"P18"
442;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
443;Às vezes;No trabalho ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Sim;Em parte
444;Não     ;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;RJ;Sim;Denunciar                                                                 ;Sim;Sim     
445;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;30 a 39 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Funcionária de empresa privada ;RJ;Sim;Denunciar                                                                 ;Não;Não     
446;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Servidora Pública              ;RJ;Sim;Outra opção                                                               ;Sim;Sim     
447;Não     ;Outros      ;Não     ;Sim;Influência de familiares;Física             ;NS/NR      ;Sim  ;Não sofro mais violência    ;Não fez nada                    ;       ;20 a 29 anos;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Profissional Liberal (Autônoma);RJ;Sim;Denunciar                                                                 ;Sim;Sim     
448;Às vezes;Na sociedade;Em parte;Sim;Uso do álcool           ;Sexual             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Ruim   ;20 a 29 anos;50 a 59 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;RJ;Sim;Outra opção                                                               ;Sim;Sim     
449;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;RJ;Sim;Outra opção                                                               ;Sim;Sim     
450;Não     ;No trabalho ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Aposentada                     ;RJ;Sim;Estimular o debate social sobre o tema                                    ;Sim;Sim     
451;Às vezes;Na família  ;NS/NR   ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;NS/NR                                      ;Aposentada                     ;RJ;Sim;Denunciar                                                                 ;Sim;Não     
452;Às vezes;Na família  ;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;50 a 59 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;RJ;Sim;Denunciar                                                                 ;Não;Sim     
453;Sim     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Superior    ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;RJ;Sim;Outra opção                                                               ;Não;Não     
454;Sim     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;NS/NR                                      ;Do Lar ( Dona de casa)         ;RJ;Sim;Denunciar                                                                 ;Não;Sim     
455;Não     ;Outros      ;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Estudante                      ;RJ;Não;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
456;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Funcionária de empresa privada ;RJ;Sim;Intensificar as campanhas para divulgação dos direitos das mulheres       ;Não;Não     
457;Às vezes;Na família  ;Em parte;Sim;Traição conjugal        ;Física             ;Companheiro;Sim  ;Não sofro mais violência    ;Denunciou em Delegacia Comum    ;Péssimo;16 a 19 anos;20 a 29 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Outras ocupações               ;RJ;Sim;Capacitar lideranças comunitárias para que possam intervir nas emergências;Sim;Sim     
458;Não     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Fundamental ;Até 2 SM (R$ 700)                          ;Do Lar ( Dona de casa)         ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Não;Sim     
459;Sim     ;NS/NR       ;NS/NR   ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;60 anos ou +;Ensino Fundamental ;Mais de 5 a 10 (de R$ 1.751 a R$ 3.500)    ;Aposentada                     ;RJ;Sim;NS/NR                                                                     ;Não;NS/NR   
460;Sim     ;Na sociedade;Não     ;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;20 a 29 anos;Ensino Médio       ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Estudante                      ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Sim     
461;Não     ;Na família  ;NS/NR   ;Sim;Ciúmes                  ;Física             ;Marido     ;Não  ;                            ;Denunciou em Delegacia Comum    ;Bom    ;30 a 39 anos;50 a 59 anos;Ensino Fundamental ;Mais de 2 a 5 (de R$ 701 a R$ 1.750)       ;Profissional Liberal (Autônoma);RJ;Não;Melhorar a assistência às vítimas                                         ;Não;Sim     
462;Às vezes;Na sociedade;Em parte;Não;                        ;                   ;           ;     ;                            ;                                ;       ;            ;40 a 49 anos;Ensino Médio       ;Até 2 SM (R$ 700)                          ;Funcionária de empresa privada ;RJ;Sim;Melhorar a assistência às vítimas                                         ;Sim;Em parte
